82,Ottawa Senators,Jarrod Maidens\maideja01,CA,C/LW,18,,Owen Sound (OHL),,,,,,,,,,,,
83,Pittsburgh Penguins,Matt Murray\murrama02,CA,G,18,2016,Sault Ste. Marie (OHL),13,0,0,0,0,0,13,9,2,1,.930,2.00
84,Florida Panthers,Steven Hodges\hodgest01,CA,C,18,,Victoria (WHL),,,,,,,,,,,,
85,Boston Bruins,Matthew Grzelcyk\grzelma01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
86,St. Louis Blues,Colton Parayko\parayco01,CA,D,19,2016,Fort McMurray (AJHL),79,9,24,33,28,29,,,,,,
87,Anaheim Ducks,Frederik Andersen\anderfr01,DK,G,22,2016,Frolunda (Sweden),125,0,5,5,0,6,125,77,26,12,.918,2.33
88,Phoenix Coyotes,James Melindy\melinja01,CA,D,18,,Moncton (QMJHL),,,,,,,,,,,,
89,Nashville Predators,Brendan Leipsic\leipsbr01,CA,LW,18,2016,Portland (WHL),6,1,2,3,-1,2,,,,,,
90,New Jersey Devils,Ben Johnson\johnsbe02,US,C/LW,18,,Windsor (OHL),,,,,,,,,,,,
91,Edmonton Oilers,Daniil Zharkov\zharkda01,RU,LW,18,,Belleville (OHL),,,,,,,,,,,,
,Round 4,Round 4,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
92,Pittsburgh Penguins,Matia Marcantuoni\marcama01,CA,C/RW,18,,Kitchener (OHL),,,,,,,,,,,,
93,Edmonton Oilers,Erik Gustafsson\gustaer02,SE,D,20,2016,Djurgarden (Sweden),41,0,14,14,11,4,,,,,,
94,Montreal Canadiens,Brady Vail\vailbr01,US,C,18,,Windsor (OHL),,,,,,,,,,,,
95,Columbus Blue Jackets,Josh Anderson\anderjo05,CA,RW,18,2016,London (OHL),18,1,4,5,-1,4,,,,,,
96,New Jersey Devils,Ben Thomson\thomsbe01,CA,LW,19,,Kitchener (OHL),,,,,,,,,,,,
97,Anaheim Ducks,Kevin Roy\royke01,CA,C,19,,Lincoln (USHL),,,,,,,,,,,,
98,Minnesota Wild,Adam Gilmour\gilmoad01,US,C,18,,Nobles (High-MA),,,,,,,,,,,,
99,Carolina Hurricanes,Erik Karlsson (2012)\karlser02,SE,C/LW,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,
100,Washington Capitals,Thomas Di Pauli\dipauth01,US,C,18,,USA U-18 (USHL),,,,,,,,,,,,
101,Tampa Bay Lightning,Cedric Paquette\paquece01,CA,C,19,2016,Blainville-Boisbriand (QMJHL),122,18,13,31,3,102,,,,,,
102,Phoenix Coyotes,Rhett Holland\hollarh01,CA,D,18,,Okotoks (AJHL),,,,,,,,,,,,
103,New York Islanders,Loic Leduc\leduclo01,CA,D,18,,Cape Breton (QMJHL),,,,,,,,,,,,
104,Dallas Stars,Gemel Smith\smithge02,CA,C,18,,Owen Sound (OHL),,,,,,,,,,,,
105,Calgary Flames,Brett Kulak\kulakbr01,CA,D,18,2016,Vancouver (WCHL),9,0,0,0,-2,2,,,,,,
106,Ottawa Senators,Timothy Boyle\boyleti01,US,D,19,,Nobles (High-MA),,,,,,,,,,,,
107,Washington Capitals,Austin Wuthrich\wuthrau01,US,RW,19,,Notre Dame (CCHA),,,,,,,,,,,,
108,Anaheim Ducks,Andrew O'Brien\obriean01,CA,D,19,,Chicoutimi (QMJHL),,,,,,,,,,,,
109,San Jose Sharks,Christophe Lalancette\lalanch01,CA,RW,18,,Acadie-Bathurst (QMJHL),,,,,,,,,,,,
110,Detroit Red Wings,Andreas Athanasiou\athanan01,CA,C/LW,18,2016,London (OHL),37,9,5,14,1,5,,,,,,
111,Philadelphia Flyers,Fredric Larsson\larssfr01,SE,D,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,
