"Team","Game.ID","CF","GF","xGF","CA","GA","xGA","TOI"
"S.J","20269",60,2,3.73,24,2,1.66,50
"CHI","20270",33,4,1.85,33,1,1.92,53
"VAN","20270",33,1,1.92,33,4,1.85,53
"CBJ","20271",30,1,1.45,26,1,1.48,56
"WSH","20271",26,1,1.48,30,1,1.45,56
"FLA","20272",29,1,1.38,32,2,2.18,53
"NYR","20272",32,2,2.18,29,1,1.38,53
"CAR","20273",34,1,1.88,28,1,1.63,43
"WPG","20273",28,1,1.63,34,1,1.88,43
"CGY","20274",33,3,1.67,30,2,1.39,53
"DET","20274",30,2,1.39,33,3,1.67,53
"ANA","20275",26,1,1.29,32,1,1.28,43
"L.A","20275",32,1,1.28,26,1,1.29,43
"BUF","20276",33,1,1.65,36,2,1.36,47
"CGY","20276",36,2,1.36,33,1,1.65,47
"NYR","20277",36,3,2.2,30,2,1.85,52
"PIT","20277",30,2,1.85,36,3,2.2,52
"CBJ","20278",57,1,3.48,33,3,2.46,56
"COL","20278",33,3,2.46,57,1,3.48,56
"NSH","20279",31,2,2.4,31,0,1.46,50
"T.B","20279",31,0,1.46,31,2,2.4,50
"DAL","20280",46,3,2.39,39,1,1.96,50
"MIN","20280",39,1,1.96,46,3,2.39,50
"CHI","20281",32,0,1.16,28,3,1.42,49
"EDM","20281",28,3,1.42,32,0,1.16,49
"S.J","20282",4,1,0.01,NA,NA,NA,31
"BOS","20283",36,0,1.34,30,3,1.78,48
"STL","20283",30,3,1.78,36,0,1.34,48
"CAR","20284",32,0,2.52,32,1,2.08,51
"TOR","20284",32,1,2.08,32,0,2.52,51
"MTL","20285",33,1,2.14,24,3,1.34,41
"OTT","20285",24,3,1.34,33,1,2.14,41
"FLA","20286",29,1,1.63,25,1,1.28,49
"PHI","20286",25,1,1.28,29,1,1.63,49
"ANA","20287",47,1,2.39,28,1,1.21,51
"NYI","20287",28,1,1.21,47,1,2.39,51
"BUF","20288",45,1,2.48,28,1,1.45,54
"DET","20288",28,1,1.45,45,1,2.48,54
"N.J","20289",34,3,1.72,28,3,1.79,52
"TOR","20289",28,3,1.79,34,3,1.72,52
"NYR","20290",23,0,1.23,41,6,2.59,49
"PIT","20290",41,6,2.59,23,0,1.23,49
"STL","20291",20,1,0.8,29,3,1.11,46
"WSH","20291",29,3,1.11,20,1,0.8,46
"CBJ","20292",32,0,1.52,25,1,1.69,46
"CGY","20292",25,1,1.69,32,0,1.52,46
"MIN","20293",28,1,1.62,21,0,0.65,52
"WPG","20293",21,0,0.65,28,1,1.62,52
"PHI","20294",24,2,0.74,29,3,1.46,38
"T.B","20294",29,3,1.46,24,2,0.74,38
"DAL","20295",33,1,1.67,24,3,1.71,47
"NSH","20295",24,3,1.71,33,1,1.67,47
"COL","20296",26,2,0.85,39,3,3.02,45
"EDM","20296",39,3,3.02,26,2,0.85,45
"ARI","20297",53,1,2.52,32,4,1.84,51
"VAN","20297",32,4,1.84,53,1,2.52,51
"L.A","20298",43,3,2.71,26,2,1.05,51
"NYI","20298",26,2,1.05,43,3,2.71,51
"CHI","20299",45,1,2.33,37,0,1.96,52
"S.J","20299",37,0,1.96,45,1,2.33,52
"CAR","20300",36,1,2.16,24,2,1.44,47
"MTL","20300",24,2,1.44,36,1,2.16,47
"BOS","20301",22,0,0.55,29,3,1.32,52
"OTT","20301",29,3,1.32,22,0,0.55,52
"NYR","20302",25,3,1.5,44,1,2.39,54
"PHI","20302",44,1,2.39,25,3,1.5,54
"MIN","20303",29,3,1.78,41,2,1.5,48
"PIT","20303",41,2,1.5,29,3,1.78,48
"ANA","20304",42,2,2.56,27,2,1.62,51
"CHI","20304",27,2,1.62,42,2,2.56,51
"NYI","20305",38,0,1.65,44,3,2.14,56
"S.J","20305",44,3,2.14,38,0,1.65,56
"BUF","20306",32,1,1.23,36,2,2.41,42
"WSH","20306",36,2,2.41,32,1,1.23,42
"NSH","20307",32,2,1.44,23,1,0.73,48
"WPG","20307",23,1,0.73,32,2,1.44,48
"BOS","20308",39,1,2.25,27,2,1.35,47
"CGY","20308",27,2,1.35,39,1,2.25,47
"CBJ","20309",43,3,2.95,29,2,1.43,49
"T.B","20309",29,2,1.43,43,3,2.95,49
"DET","20310",35,4,2.68,19,2,1.36,46
"N.J","20310",19,2,1.36,35,4,2.68,46
"DAL","20311",38,2,1.67,41,1,1.83,54
"VAN","20311",41,1,1.83,38,2,1.67,54
"ARI","20312",38,2,2.42,45,2,2.27,51
"EDM","20312",45,2,2.27,38,2,2.42,51
"TOR","20313",41,3,4.16,34,2,1.05,41
"WSH","20313",34,2,1.05,41,3,4.16,41
"CAR","20314",35,1,2.06,29,2,1.96,55
"OTT","20314",29,2,1.96,35,1,2.06,55
"DET","20315",40,1,2.56,33,2,1.73,55
"MTL","20315",33,2,1.73,40,1,2.56,55
"CBJ","20316",40,1,2.54,32,1,1.39,57
"FLA","20316",32,1,1.39,40,1,2.54,57
"N.J","20317",31,1,1.41,46,2,2.91,51
"PIT","20317",46,2,2.91,31,1,1.41,51
"MIN","20318",33,2,2.08,48,2,2.81,58
"STL","20318",48,2,2.81,33,2,2.08,58
"COL","20319",43,2,1.96,33,1,1.72,50
"VAN","20319",33,1,1.72,43,2,1.96,50
"CHI","20320",26,1,1.62,38,2,2.84,48
"L.A","20320",38,2,2.84,26,1,1.62,48
"ANA","20321",36,2,2.17,27,1,0.93,53
"S.J","20321",27,1,0.93,36,2,2.17,53
"BOS","20322",36,3,1.9,43,1,1.71,54
"T.B","20322",43,1,1.71,36,3,1.9,54
"ARI","20323",24,2,1.11,45,1,2.17,48
"EDM","20323",45,1,2.17,24,2,1.11,48
"CAR","20324",28,2,2.29,37,1,1.88,49
"FLA","20324",37,1,1.88,28,2,2.29,49
"NSH","20325",33,0,1.93,23,1,2.16,43
"WPG","20325",23,1,2.16,33,0,1.93,43
"NYR","20326",36,0,1.82,26,1,1.78,47
"OTT","20326",26,1,1.78,36,0,1.82,47
"CGY","20327",31,0,1.57,40,4,2.93,46
"PHI","20327",40,4,2.93,31,0,1.57,46
